kanton,code,beteiligung,datum,name,ja,passed
Zürich,CH.ZH,48.7,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,62.6,true
Bern,CH.BE,44.8,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,53.4,true
Luzern,CH.LU,47.6,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,55.3,true
Uri,CH.UR,44.8,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,43.5,false
Schwyz,CH.SZ,49.6,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,55.9,true
Obwalden,CH.OW,49.8,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,56.1,true
Nidwalden,CH.NW,50,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,62.5,true
Glarus,CH.GL,38.2,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,53.4,true
Zug,CH.ZG,50.3,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,63.8,true
Fribourg,CH.FR,46.7,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,49.1,false
Solothurn,CH.SO,44.8,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,54.5,true
Basel-Stadt,CH.BS,47.1,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,57.1,true
Basel-Landschaft,CH.BL,44,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,58,true
Schaffhausen,CH.SH,63.7,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,54.8,true
Appenzell Ausserrhoden,CH.AR,50.6,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,51.6,true
Appenzell Innerrhoden,CH.AI,41.1,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,50.3,true
St. Gallen,CH.SG,45.9,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,52.3,true
Graubünden,CH.GR,43,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,60,true
Aargau,CH.AG,47.5,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,55.9,true
Thurgau,CH.TG,45.7,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,51.8,true
Ticino,CH.TI,47,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,63.6,true
Vaud,CH.VD,46,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,55.3,true
Valais,CH.VS,47.6,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,43.3,false
Neuchâtel,CH.NE,42.8,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,46.7,false
Genève,CH.GE,47.5,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,57.1,true
Jura,CH.JU,36.8,22.09.2013,Liberalisierung der Öffnungszeiten von Tankstellenshops,34.7,false
